DATE,GNPCA_PC1
1930-01-01,-8.48023
1931-01-01,-6.50801
1932-01-01,-12.94761
1933-01-01,-1.33467
1934-01-01,10.67392
1935-01-01,8.94800
1936-01-01,12.73575
1937-01-01,5.23958
1938-01-01,-3.27649
1939-01-01,8.00982
1940-01-01,8.68584
1941-01-01,17.77499
1942-01-01,18.80761
1943-01-01,16.93865
1944-01-01,7.94417
1945-01-01,-1.01591
1946-01-01,-11.49301
1947-01-01,-0.99919
1948-01-01,4.19852
1949-01-01,-0.61332
1950-01-01,8.69635
1951-01-01,8.13127
1952-01-01,4.08263
1953-01-01,4.62952
1954-01-01,-0.53498
1955-01-01,7.16256
1956-01-01,2.18133
1957-01-01,2.12999
1958-01-01,-0.84104
1959-01-01,6.91225
1960-01-01,2.61647
1961-01-01,2.61443
1962-01-01,6.17248
1963-01-01,4.37540
1964-01-01,5.77723
1965-01-01,6.48240
1966-01-01,6.49971
1967-01-01,2.74501
1968-01-01,4.93305
1969-01-01,3.08182
1970-01-01,0.17803
1971-01-01,3.34452
1972-01-01,5.27417
1973-01-01,5.85850
1974-01-01,-0.40584
1975-01-01,-0.44366
1976-01-01,5.50291
1977-01-01,4.69639
1978-01-01,5.47091
1979-01-01,3.46881
1980-01-01,-0.26606
1981-01-01,2.35633
1982-01-01,-1.73796
1983-01-01,4.50070
1984-01-01,7.10641
1985-01-01,3.84472
1986-01-01,3.23228
1987-01-01,3.42070
1988-01-01,4.24787
1989-01-01,3.66803
1990-01-01,2.01171
1991-01-01,-0.19504
1992-01-01,3.48727
1993-01-01,2.73379
1994-01-01,3.88800
1995-01-01,2.72549
1996-01-01,3.78575
1997-01-01,4.33214
1998-01-01,4.39436
1999-01-01,4.83267
2000-01-01,4.20895
2001-01-01,1.11907
2002-01-01,1.69387
2003-01-01,2.95689
2004-01-01,3.93469
2005-01-01,3.46850
2006-01-01,2.61614
2007-01-01,2.27084
2008-01-01,0.14765
2009-01-01,-2.61346
2010-01-01,2.89410
2011-01-01,1.75763
2012-01-01,2.16177
2013-01-01,1.78356
2014-01-01,2.53658
2015-01-01,2.92244
2016-01-01,1.74432
2017-01-01,2.59307
2018-01-01,2.88183
2019-01-01,2.03924
2020-01-01,-3.75600
